                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61851,                 2.7737,                 1.2928,                0.00535,                      1,                0.29837,                0.26844,                0.78539,                 3.5291,                 1.1363,             0.00040881,             0.00040881,             0.00040881
                      2,                0.40982,                 1.9954,                 1.1033,                0.28084,                0.43939,                0.32813,                0.26013,                 1.3428,                 4.9486,                  1.739,             0.00082002,             0.00082002,             0.00082002
                      3,                0.36876,                 1.8231,                 1.0758,                0.21191,                0.49181,                0.29709,                0.13626,                 1.6405,                 3.9605,                 1.8932,              0.0012257,              0.0012257,              0.0012257
                      4,                0.39308,                 1.7701,                 1.0776,                0.40587,                 0.6452,                0.44085,                0.31512,                0.81936,                 1.9823,                 1.1897,              0.0012252,              0.0012252,              0.0012252
                      5,                0.36804,                 1.6794,                 1.0615,                0.43725,                0.68211,                 0.4702,                0.33294,                0.91889,                 1.9881,                 1.2339,              0.0012252,              0.0012252,              0.0012252
                      6,                0.33399,                 1.5815,                   1.04,                0.30411,                0.69861,                0.37278,                0.26631,                 1.0885,                 2.3887,                 1.2769,               0.001217,               0.001217,               0.001217
                      7,                0.33761,                 1.4886,                  1.036,                0.13433,                0.58838,                0.19465,                0.05649,                  1.811,                 3.4484,                 1.6654,              0.0012087,              0.0012087,              0.0012087
                      8,                0.30298,                  1.412,                 1.0139,                0.26512,                0.66944,                0.36993,                0.32313,                0.41485,                 2.5409,                0.57381,              0.0012005,              0.0012005,              0.0012005
                      9,                0.29256,                 1.3476,                 1.0118,                0.42824,                0.63396,                0.45388,                0.42622,                0.41638,                 1.8968,                0.59525,              0.0011922,              0.0011922,              0.0011922
                     10,                0.27987,                 1.2783,                0.98897,                0.45008,                 0.7504,                0.43546,                0.41628,                0.35732,                 1.8235,                0.53054,               0.001184,               0.001184,               0.001184
                     11,                0.27455,                 1.2187,                0.99922,                0.44552,                0.71872,                0.53471,                 0.4537,                0.50786,                 1.6256,                0.72117,              0.0011757,              0.0011757,              0.0011757
                     12,                0.26452,                 1.2056,                0.98346,                0.49766,                0.48081,                0.51757,                  0.326,                0.97879,                 2.0044,                 1.1354,              0.0011675,              0.0011675,              0.0011675
                     13,                0.24571,                 1.1763,                0.97448,                0.40227,                0.65446,                0.43861,                0.35058,                0.76227,                 2.1863,                0.92251,              0.0011593,              0.0011593,              0.0011593
                     14,                0.23735,                 1.1394,                0.96899,                0.41581,                0.50514,                0.43384,                0.32984,                0.66469,                 1.8621,                0.89759,               0.001151,               0.001151,               0.001151
